id,listing_url,host_id,host_since,latitude,longitude,neighbourhood,property_type,room_type,accommodates,bathrooms,bedrooms,beds,amenities,square_feet,minimum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,calculated_host_listings_count,reviews_per_month,price
3968797,https://www.airbnb.com/rooms/3968797,4762495,2013-01-19,42.29110718003285,-71.13133846374734,Roslindale,House,Private room,2,1.5,1.0,1.0,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Cat(s),""Other pet(s)"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,Essentials,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,1,29,97.0,10.0,10.0,10.0,10.0,9.0,10.0,f,moderate,2,1.67,85.0
1494726,https://www.airbnb.com/rooms/1494726,7506913,2013-07-15,42.27571563204639,-71.13013942666514,Roslindale,House,Private room,1,1.0,1.0,1.0,"{""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",""Free Parking on Premises"",""Pets live on this property"",Cat(s),Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",200.0,3,9,93.0,9.0,10.0,10.0,10.0,10.0,10.0,f,strict,1,0.37,75.0
8473851,https://www.airbnb.com/rooms/8473851,44625108,2015-09-19,42.27493019121742,-71.13062800634724,Roslindale,House,Private room,2,2.0,1.0,1.0,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Pets live on this property"",Dog(s),Cat(s),Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,2,14,99.0,10.0,10.0,10.0,10.0,9.0,10.0,f,flexible,1,1.23,50.0
3575220,https://www.airbnb.com/rooms/3575220,13226301,2014-03-17,42.2802789130541,-71.13586963457317,Roslindale,House,Private room,1,2.5,1.0,1.0,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Buzzer/Wireless Intercom"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",,2,8,97.0,10.0,9.0,10.0,10.0,9.0,10.0,f,flexible,3,0.33,45.0
1591827,https://www.airbnb.com/rooms/1591827,8491165,2013-08-28,42.28556002712625,-71.1239986992945,Roslindale,House,Private room,2,1.0,1.0,1.0,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets live on this property"",Dog(s),Cat(s),Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",90.0,2,117,92.0,10.0,10.0,10.0,10.0,9.0,9.0,f,moderate,1,3.22,60.0
3229255,https://www.airbnb.com/rooms/3229255,16343599,2014-06-03,42.287025610360985,-71.13353878797959,Roslindale,Apartment,Entire home/apt,3,1.0,1.0,1.0,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,1,53,99.0,10.0,10.0,10.0,10.0,10.0,10.0,f,strict,1,2.07,95.0
1721016,https://www.airbnb.com/rooms/1721016,7723912,2013-07-25,42.28606772927463,-71.13236250334809,Roslindale,Apartment,Entire home/apt,2,1.0,0.0,1.0,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer,""Smoke Detector"",""First Aid Kit"",Essentials}",,3,3,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,strict,2,0.12,89.0
12535687,https://www.airbnb.com/rooms/12535687,30349101,2015-03-31,42.28389087384849,-71.13140826651366,Roslindale,Apartment,Entire home/apt,3,1.0,0.0,2.0,"{""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Pets live on this property"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron}",,2,0,,,,,,,,f,flexible,1,,110.0
12994227,https://www.airbnb.com/rooms/12994227,8582699,2013-09-02,42.293924644315325,-71.1354893588797,,Condominium,Private room,2,1.0,1.0,1.0,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Breakfast,""Pets live on this property"",Dog(s),""Indoor Fireplace"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""Lock on Bedroom Door"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,1,0,,,,,,,,f,flexible,1,,65.0
12927298,https://www.airbnb.com/rooms/12927298,68001856,2016-04-19,42.29061655718749,-71.13273461483398,Roslindale,House,Entire home/apt,7,2.0,3.0,3.0,"{TV,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,""24-Hour Check-in"",Hangers}",,3,2,80.0,10.0,10.0,10.0,10.0,8.0,6.0,f,strict,1,1.15,285.0
169938,https://www.airbnb.com/rooms/169938,809859,2011-07-12,42.313791962580474,-71.1033874115732,Jamaica Plain,Apartment,Entire home/apt,4,1.0,1.0,1.0,"{TV,""Cable TV"",Internet,""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Washer / Dryer"",Heating,""Family/Kid Friendly"",Washer,Dryer}",,3,1,,,,,,,,f,moderate,1,1.0,140.0
594693,https://www.airbnb.com/rooms/594693,2139546,2012-04-14,42.307974813109155,-71.11622135298697,Jamaica Plain,Apartment,Private room,2,1.0,1.0,1.0,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets live on this property"",Dog(s),Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher""}",,2,23,93.0,9.0,8.0,10.0,10.0,10.0,9.0,f,strict,2,0.46,70.0
2384581,https://www.airbnb.com/rooms/2384581,12083797,2014-02-09,42.309356585821945,-71.11682730260223,Jamaica Plain,House,Private room,2,1.0,1.0,1.0,"{TV,""Cable TV"",""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer,Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,1,14,93.0,9.0,9.0,10.0,10.0,10.0,9.0,f,flexible,2,0.46,95.0
735970,https://www.airbnb.com/rooms/735970,3840038,2012-10-11,42.31691221390575,-71.1130254234823,Jamaica Plain,Bed & Breakfast,Private room,2,1.0,1.0,1.0,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,Breakfast,""Indoor Fireplace"",""Buzzer/Wireless Intercom"",Heating,Washer,Dryer}",1000.0,300,3,100.0,10.0,9.0,9.0,9.0,10.0,10.0,f,flexible,1,0.06,55.0
4262255,https://www.airbnb.com/rooms/4262255,21873698,2014-09-28,42.303984557617724,-71.10449360644688,Jamaica Plain,Apartment,Private room,2,1.0,1.0,1.0,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Breakfast,Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron}",,2,57,99.0,10.0,10.0,10.0,10.0,10.0,10.0,f,moderate,1,2.48,80.0
4000384,https://www.airbnb.com/rooms/4000384,10910804,2013-12-30,42.31632875548343,-71.09909641577437,Jamaica Plain,House,Private room,2,1.0,1.0,1.0,"{""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Pets live on this property"",Dog(s),Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",,2,58,97.0,10.0,10.0,10.0,10.0,9.0,10.0,f,flexible,1,2.36,120.0
6693305,https://www.airbnb.com/rooms/6693305,14303759,2014-04-15,42.32002252367938,-71.10594049773768,Jamaica Plain,Apartment,Private room,2,1.0,1.0,1.0,"{TV,""Wireless Internet"",Kitchen,""Smoking Allowed"",Breakfast,""Pets live on this property"",Cat(s),""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Fire Extinguisher"",Essentials,Shampoo}",,1,1,100.0,10.0,8.0,10.0,10.0,10.0,10.0,f,flexible,4,0.07,65.0
